	oid	name_org	oc_id	Business	Group	Industry	name_concept	acronym	canon_oid
0	29	Union Of American Physicians And Dentists	-12160	Health worker unions	Labor	General Trade Unions	Union Of American Physicians And Dentists		29.0
1	37	California Association Of Highway Patrolmen	-1928	Police unions & associations	Labor	Public Sector Unions	California Association Of Highway Patrolmen		37.0
2	39	California Association Of Professional Scientists	-1976	Other unions	Labor	General Trade Unions	California Association Of Professional Scientists		39.0
3	40	California Athletic Trainers Association	-2022	Uncoded	Uncoded	Uncoded	California Athletic Trainers Association		40.0
4	41	Cdf Firefighters	-3318	Fire fighters unions and associations	Labor	Public Sector Unions	Cdf Firefighters		41.0
5	45	Ford Motor Company	-5579	Auto manufacturers	Transportation	Automotive	Ford Motor Company		45.0
6	46	Waste Management, Inc. & Affiliated Entities	-12573	Waste management	Energy & Natural Resources	Waste Management	Waste Management		10128.0
7	48	Barona Band Of Mission Indians	-1298	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Barona Band Of Mission Indians		48.0
8	66	California Nurses Association	-2666	Health worker unions	Labor	General Trade Unions	California Nurses Association		32979.0
9	76	Word & Brown		Accident & health insurance	Finance, Insurance & Real Estate	Insurance			
10	89	California Chamber Of Commerce	-4	Chambers of commerce	General Business	Business Associations	California Chamber of Commerce		89.0
11	95	Check Into Cash Inc.	-3476	Payday/Title Loans	Finance, Insurance & Real Estate	Payday/Title Loans	Check Into Cash Inc.		95.0
12	101	Cabazon Band Of Mission Indians	-1728	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Cabazon Band Of Mission Indians		101.0
13	139	California Automatic Vendors Council	-2035	Vending machine sales & services	General Business	Retail Sales	California Automatic Vendors Council		139.0
14	142	California Financial Service Providers	-2384	Payday/Title Loans	Finance, Insurance & Real Estate	Payday/Title Loans	California Financial Service Providers		142.0
15	153	Consumer Attorneys Of California	-17	Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists	Consumer Attorneys Of California		153.0
16	161	Western Manufactured Housing Communities Association	-12708	Mobile home dealers & parks	Finance, Insurance & Real Estate	Real Estate	Western Manufactured Housing Communities Association		161.0
17	168	O'Melveny & Myers LLP	-8745	Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists	O'Melveny & Myers LLP		168.0
18	175	E & J Gallo Winery	-4813	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	E & J Gallo Winery		175.0
19	176	Microsoft Corporation	-7961	Computer software	Communications & Electronics	Computer Equipment & Services	Microsoft Corporation		176.0
20	189	Target Corporation	-11266	Department, variety & convenience stores	General Business	Retail Sales	Target Corporation		189.0
21	194	California Applicants' Attorneys Association	-1840	Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists	California Applicants' Attorneys Association		194.0
22	200	California Association Of Health Plans	-1923	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	California Association Of Health Plans		200.0
23	211	Pacificorp	-8953	Electric power utilities	Energy & Natural Resources	Electric Utilities	Pacificorp		211.0
24	213	Milk Producers Council	-7980	Dairy farmers & wholesale and retail milk, cheese and ice cream dealers	Agriculture	Dairy	Milk Producers Council		213.0
25	214	State Building & Construction Trades Council Of California	-10989	Construction unions	Labor	General Trade Unions	State Building & Construction Trades Council Of California		214.0
26	230	California School Employees Association	-2851	State & local government employee unions	Labor	Public Sector Unions	California School Employees Association		230.0
27	241	Burlington Northern Santa Fe Railway Company	-1541	Railroads	Energy & Natural Resources	Railroads	BNSF Railway Company		9613.0
28	242	California Federation Of Teachers	-2375	Teachers unions	Labor	Public Sector Unions	California Federation Of Teachers		242.0
29	248	Distilled Spirits Council Of The United States	-4701	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	Distilled Spirits Council Of The United States		248.0
30	253	California Forestry Association	-2398	Timber companies, sawmills, & others engaged in cutting down trees	Agriculture	Forestry & Forest Products	California Forestry Association		253.0
31	259	Hilmar Cheese Company	-6279	Dairy farmers & wholesale and retail milk, cheese and ice cream dealers	Agriculture	Dairy	Hilmar Cheese Company		259.0
32	261	Pacific Life Insurance Company	-8947	Life insurance	Finance, Insurance & Real Estate	Insurance	Pacific Life		31331.0
33	263	Cadiz Inc.	-1736	Real estate developers & subdividers	Finance, Insurance & Real Estate	Real Estate	Cadiz Inc.		263.0
34	273	Specialty Equipment Market Association	-10911	Uncoded	Uncoded	Uncoded	Specialty Equipment Market Association		273.0
35	279	Matson Navigation Company, Inc.	-7736	Sea transport	Transportation	Sea Transport	Matson Navigation Company, Inc.		279.0
36	281	Orange County Employees Association	-8820	State & local government employee unions	Labor	Public Sector Unions	Orange County Employees Association		281.0
37	283	Calpine Corporation	-1741	Independent power generation & cogeneration	Energy & Natural Resources	Electric Utilities	Calpine Corporation		283.0
38	284	Farmers Group, Inc.	-5263	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Farmers Group, Inc.		284.0
39	286	Pardee Homes	-9023	Real estate developers & subdividers	Finance, Insurance & Real Estate	Real Estate	Pardee Homes		286.0
40	289	Pfizer Inc.	-9189	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Pfizer Inc.		289.0
41	293	1-800 Contacts, Inc.	-29	Optical services (glasses & contact lenses)	Health	Health Services	1-800 Contacts, Inc.		293.0
42	303	California Association Of Health Facilities	-1919	Nursing homes	Health	Hospitals & Nursing Homes	California Association Of Health Facilities		303.0
43	319	California Professional Firefighters	-2760	Fire fighters unions and associations	Labor	Public Sector Unions	California Professional Firefighters		319.0
44	339	Thoroughbred Owners Of California	-11800	Uncoded	Uncoded	Uncoded	Thoroughbred Owners Of California		339.0
45	341	Del Mar Thoroughbred Club	-4552	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Del Mar Thoroughbred Club		341.0
46	342	Oak Tree Racing Association	-8665	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Oak Tree Racing Association		342.0
47	363	Genentech, Inc.	-5763	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Genentech, Inc.		363.0
48	384	Professional Engineers In California Government	-9469	Other unions	Labor	General Trade Unions	Professional Engineers In California Government		384.0
49	389	Oracle Corporation	-8804	Computer software	Communications & Electronics	Computer Equipment & Services	Oracle Corporation		389.0
50	398	T-Mobile Usa, Inc	-11235	Paging & cellular phones and services	Communications & Electronics	Telecom Services & Equipment	T-Mobile		8811.0
51	406	Good Samaritan Hospital	-5906	Hospitals	Health	Hospitals & Nursing Homes	Good Samaritan Hospital		406.0
52	407	California Commerce Club	-2190	Casinos, racetracks & gambling	General Business	Gambling & Casinos	California Commerce Club / Commerce Casino		407.0
53	420	Peace Officers Research Association Of California	-9095	Police unions & associations	Labor	Public Sector Unions	Peace Officers Research Association Of California		420.0
54	422	Retired Public Employees Association	-9792	State & local government employee unions	Labor	Public Sector Unions	Retired Public Employees Association		422.0
55	428	California Steel Industries Inc.	-3023	Uncoded	Uncoded	Uncoded	California Steel Industries Inc.		428.0
56	431	United Services Automobile Association (Usaa)	-12219	Finance, insurance & real estate	Finance, Insurance & Real Estate	Miscellaneous Finance, Insurance & Real Estate	United Services Automobile Association (Usaa)		431.0
57	433	California State Council Of Laborers	-2947	Construction unions	Labor	General Trade Unions	California State Council Of Laborers		433.0
58	441	California Physical Therapy Association	-2722	Other non-physician health practitioners	Health	Health Professionals	California Physical Therapy Association		441.0
59	451	Association Of California School Administrators	-1084	Public school teachers, administrators & officials	Government Agencies/Education/Other	Education	Association Of California School Administrators		451.0
60	458	Apartment Association California Southern Cities	-852	Building operators & managers	Finance, Insurance & Real Estate	Real Estate	Apartment Association California Southern Cities		458.0
61	468	At&T	-1153	Telecommunications	Communications & Electronics	Telecom Services & Equipment	AT&T		468.0
62	479	California Dialysis Council	-2319	Other physician specialists	Health	Health Professionals	California Dialysis Council		479.0
63	511	San Manuel Band Of Mission Indians	-10262	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	San Manuel Band Of Mission Indians		511.0
64	512	Santa Ynez Band Of Chumash Indians	-10361	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Santa Ynez Band Of Chumash Indians		512.0
65	529	Agricultural Council Of California	-305	Farm organizations & cooperatives	Agriculture	Agricultural Services & Products	Agricultural Council Of California		529.0
66	540	AstraZeneca Pharmaceuticals LP	-1148	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	AstraZeneca Pharmaceuticals LP		540.0
67	544	Verizon Wireless	-12420	Telecommunications	Communications & Electronics	Telecom Services & Equipment	Verizon		8809.0
68	577	Vision Service Plan	-12503	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Vision Service Plan		577.0
69	600	Amazon.Com Inc.	-514	Retail trade	General Business	Retail Sales	Amazon		44346.0
70	605	Sycuan Band Of The Kumeyaay Nation	-11226	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Sycuan Band of Kumeyaay Nation		102342.0
71	622	Mitsubishi Cement Corporation	-8023	Stone, clay, glass & concrete products	Construction	Building Materials & Equipment	Mitsubishi Cement Corporation		622.0
72	671	California Apartment Association	-1832	Building operators & managers	Finance, Insurance & Real Estate	Real Estate	California Apartment Association		671.0
73	682	California Mortgage Association	-2597	Mortgage bankers & brokers	Finance, Insurance & Real Estate	Real Estate	California Mortgage Association		682.0
74	704	Association For Los Angeles Deputy Sheriffs	-1049	Police unions & associations	Labor	Public Sector Unions	Association for LA Deputy Sheriffs		5618.0
75	706	California Agricultural Aircraft Association	-1791	Farm organizations & cooperatives	Agriculture	Agricultural Services & Products	California Agricultural Aircraft Association		706.0
76	709	Blue Shield Of California	-1531	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Blue Shield Of California		709.0
77	710	Western Dental Services, Inc.	-12684	Dentists	Health	Health Professionals	Western Dental		6590.0
78	719	Norcal Mutual Insurance Company	-8535	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Norcal Mutual Insurance Company		719.0
79	730	Aetna, Inc.	-266	Insurance companies, general	Finance, Insurance & Real Estate	Insurance	Aetna, Inc.		730.0
80	736	Los Angeles Police Protective League	-7456	Police unions & associations	Labor	Public Sector Unions	Los Angeles Police Protective League		736.0
81	740	Western Propane Gas Association	-12718	LPG/Liquid propane dealers & producers	Energy & Natural Resources	Oil & Gas	Western Propane Gas Association		740.0
82	759	California Society Of Plastic Surgeons	-2903	Other physician specialists	Health	Health Professionals	California Society Of Plastic Surgeons		759.0
83	764	California Association Of Psychiatric Technicians	-1981	Psychiatrists & psychologists	Health	Health Professionals	California Association Of Psychiatric Technicians		764.0
84	773	California Citrus Mutual	-2153	Vegetables, fruits & tree nuts	Agriculture	Crop Production & Basic Processing	California Citrus Mutual		773.0
85	796	Medical Insurance Exchange Of California	-7822	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Medical Insurance Exchange Of California		796.0
86	800	Johnson & Johnson Services, Inc.	-6843	Health care products	Health	Pharmaceuticals & Health Products	Johnson & Johnson Services, Inc.		800.0
87	806	Granite Construction Inc.	-5945	Public works, industrial & commercial construction	Construction	General Contractors	Granite Construction Inc.		806.0
88	811	Qualcomm, Inc.	-9583	Paging & cellular phones and services	Communications & Electronics	Telecom Services & Equipment	Qualcomm, Inc.		811.0
89	814	Apartment Association Of Orange County	-860	Building operators & managers	Finance, Insurance & Real Estate	Real Estate	Apartment Association Of Orange County		814.0
90	821	American Staffing Association	-741	Employment agencies	General Business	Business Services	American Staffing Association		821.0
91	822	Artichoke Joe'S, Inc.	-947	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Artichoke Joe's Casino		40431.0
92	870	Association Of Home Appliance Manufacturers	-1113	Household appliances	General Business	Miscellaneous Manufacturing & Distributing	Association Of Home Appliance Manufacturers		870.0
93	880	California Pharmacists Association	-2718	Pharmacists	Health	Health Professionals	California Pharmacists Association		880.0
94	905	California Building Industry Association	-13	Residential construction	Construction	Home Builders	California Building Industry Association		905.0
95	918	Glass Packaging Institute	-5837	Glass products	General Business	Miscellaneous Manufacturing & Distributing	Glass Packaging Institute		918.0
96	953	California Association Of Pest Control Advisers 	-1965	Pest control	General Business	Miscellaneous Services	California Association Of Pest Control Advisers 		953.0
97	954	California Association Of Winegrape Growers	-2016	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	California Association Of Winegrape Growers		954.0
98	964	Bristol-Myers Squibb Company	-1637	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Bristol-Myers Squibb Company		964.0
99	996	California Beer & Beverage Distributors	-2053	Liquor wholesalers	General Business	Beer, Wine & Liquor	California Beer & Beverage Distributors		996.0
100	1002	Tesoro Refining & Marketing Company	-7663	Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas	Marathon Petroleum Company LLC		152043.0
101	1020	Employers Compensation Insurance Company	-5020	Property & casualty insurance	Finance, Insurance & Real Estate	Insurance	Employers Compensation Insurance Company		1020.0
102	1040	Sun-Maid Growers Of California		Vegetables, fruits & tree nuts	Agriculture	Crop Production & Basic Processing			
103	1042	Novartis Pharmaceuticals Corporation	-8615	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Novartis Pharmaceuticals Corporation		1042.0
104	1066	California Correctional Peace Officers Association	-2237	Corrections officers unions and associations	Labor	Public Sector Unions	California Correctional Peace Officers Association		1066.0
105	1069	Ernst & Young LLP	-5126	Accountants	Finance, Insurance & Real Estate	Accountants	Ernst & Young LLP		1069.0
106	1076	Kpmg LLP	-7019	Accountants	Finance, Insurance & Real Estate	Accountants	Kpmg LLP		1076.0
107	1082	California Poultry Federation	-2740	Poultry & eggs	Agriculture	Poultry & Eggs	California Poultry Federation		1082.0
108	1087	Maximus, Inc.	-7744	Employment agencies	General Business	Business Services	Maximus, Inc.		1087.0
109	1091	Twenty-Nine Palms Band Of Mission Indians	-15089	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	 Twenty-Nine Palms Band of Mission Indians of California		
110	1092	Marriott International, Inc.	-7713	Hotels & motels	General Business	Lodging & Tourism	Marriott International, Inc.		1092.0
111	1096	American Rental Association	-720	Equipment rental & leasing	General Business	Miscellaneous Services	American Rental Association		1096.0
112	1097	California Grocers Association	-2425	Food stores	Agriculture	Food Processing & Sales	California Grocers Association		1097.0
113	1099	California Academy Of Family Physicians	-1775	Physicians	Health	Health Professionals	California Academy Of Family Physicians		1099.0
114	1103	Abbott Laboratories	-110	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Abbott Laboratories		1103.0
115	1106	Advanced Medical Technology Association	-227	Medical supplies manufacturing & sales	Health	Pharmaceuticals & Health Products	Advanced Medical Technology Association		1106.0
116	1107	American Chemistry Council	-574	Chemicals	General Business	Chemical & Related Manufacturing	American Chemistry Council And Its Subsidiary, The American Plastics Council		14210.0
117	1118	United Airlines	-12170	Airlines	Transportation	Air Transport	United Airlines		1118.0
118	1139	California Orthopaedic Association	-2689	Other physician specialists	Health	Health Professionals	California Orthopaedic Association		1139.0
119	1160	Union Pacific Railroad	-12166	Railroads	Energy & Natural Resources	Railroads	Union Pacific Corporation		1160.0
120	1164	Fmc Corporation	-5549	Health care institutions	Health	Hospitals & Nursing Homes	Fmc Corporation		1164.0
121	1177	San Francisco Bar Pilots	-10154	Sea freight & passenger services	Transportation	Sea Transport	San Francisco Bar Pilots		1177.0
122	1192	California Association Of Oral And Maxillofacial Surgeons	-1963	Dentists	Health	Health Professionals	California Association Of Oral And Maxillofacial Surgeons		1192.0
123	1209	California Trucking Association	-3072	Trucking	Transportation	Trucking	California Trucking Association		1209.0
